Alternative,Standard
Cunningham,Cunn.
Adanson,Adans.
Afzelius,Afzel.
Aitchison,Aitch.
Allioni,All.
Andrzejowski,Andrz.
Arnott,Arn.
Aristeguieta,Aristeg.
Ascherson,Asch.
Aublet,Aubl.
Backeberg,Backeb.
Balfour & Forrest,Balf.f. & Forrest
Balfour,Balf.
Barrelier,Barrel.
Barbosa Rodrigues,Barb.Rodr.
Bartling,Bartl.
Baumgarten,Baumg.
Beddome,Bedd.
Bentham,Benth.
Bernhardi,Bernh.
Berthelot,Berthel.
Bertoloni,Bertol.
von Bieberstein,M.Bieb.
Bieberstein,M.Bieb.
Binnendijk,Binn.
Bivona,Biv.
Boerhaave,Boerh.
Böhmer,Boehm.
Boehmer,Boehm.
Boissier,Boiss.
Bonpland,Bonpl.
Borkhausen,Borkh.
Braun-Blanquet,Braun-Blanq.
Bredemeyer,Bredem.
Brunnhoff,Brign.
Brögelmann,Brög.
Broegelmann,Brög.
de Brongniart,Brongn.
Brongniart,Brongn.
Broussonet,Brouss.
Bentham,Benth.
Burchell,Burch.
Burman,Burm.
Meyer,Mey.
Cambessedes,Cambess.
Cambessèdes,Cambess.
Carmichael,Carmich.
Cassini,Cass.
Cavanilles,Cav.
Chamberlain,Chamb.
Chamisso,Cham.
Chevalier,Chev.
Chittenden,Chitt.
de Clairville,Clairv.
Clairville,Clairv.
Cogniaux,Cogn.
Colebrooke,Colebr.
Colladon,Collad.
Commerson,Comm.
Correa,Corrêa
Coulter,Coult.
De Candolle,DC.
de Candolle,DC.
DeCandolle,DC.
Decandolle,DC.
De Wildeman,De Wild.
Decaisne,Decne.
Des Moulins,Des Moul.
Desfontaines,Desf.
Desrousseaux,Desr.
Desvaux,Desv.
Detharding,Dethard.
Dietrich,Dietr.
Drake del Castillo,Drake
Dryander,Dryand.
Dumont de Courset,Dum.Cours.
Dumont Courset,Dum.Cours.
Ecklon,Eckl.
Ehrenberg,Ehrenb.
Ehrhart,Ehrh.
Endlicher,Endl.
Engelmann,Engelm.
Mueller,Muell.
Fedtschenko,Fedtsch.
Fernandes,Fern.
Fischer,Fisch.
Flugge,Flüggé
Forsskal,Forssk.
Forster,Forst.
Franchet,Franch.
Fresenius,Fresen.
Fries,Fr.
Froelich,Froel.
Gaertner,Gaertn.
Gagnepain,Gagnep.
Gaudichaud-Beaupré,Gaudich.
Gaudichaud-Beaupre,Gaudich.
Gaudichaud,Gaudich.
Gingins,Ging.
Gmelin,Gmel.
Goeppert,Göpp.
Goodenough,Gooden.
Graebner,Graebn.
Grisebach,Griseb.
Guilfoyle,Guilf.
Güldenstädt,Gueldenst.
Güldenstaedt,Gueldenst.
Gueldenstaedt,Gueldenst.
Gussone,Guss.
H.B.K.,Kunth
Hamilton,Ham.
Handel-Mazzetti,Hand.-Mazz.
Hartweg,Hartw.
Hasskarl,Hassk.
Haworth,Haw.
Heister,Heist.
Hemsley,Hemsl.
Herbert,Herb.
L'Heritier,L'Hér.
L'Héritier,L'Hér.
de Saint-Hilaire,A.St.-Hil.
Saint-Hilaire,A.St.-Hil.
Hitchcock,Hitchc.
Hochstetter,Hochst.
Hoffmannsegg,Hoffmanns.
Hoffmann,Hoffm.
Hooker,Hook.
Horarinow,Horan.
Hornemann,Hornem.
Hornschuch,Hornsch.
Houttuyn,Houtt.
Huber-Morath,Hub.-Mor.
Hudson,Huds.
Humboldt,Humb.
Hutchinson,Hutch.
JD.Hooker,Hook.f.
J.D.Hook.,Hook.f.
J.D.Hooker,Hook.f.
Hooker,Hook.
Jackson,Jacks.
Jacquin,Jacq.
Janczewski,Jancz.
Javorka,Jáv.
Jávorka,Jáv.
Macgillivray,MacGill.
Jumelle,Jum.
de Jussieu,Juss.
Jussieu,Juss.
Karwinsky,Karw.
Kaulfuss,Kaulf.
Koidzumi,Koidz.
Koernicke,Körn.
Körnicke,Körn.
Ker Gawler,Ker Gawl.
Ker-Gawler,Ker Gawl.
Kitaibel,Kit.
Kitamura,Kitam.
Kränzlin,Kraenzl.
