Alternative,Standard,Ambiguous,Comment
B. & W.,Bartl. & H.L.Wendl.,,
C. & R.,Robill. & Castagne,,
F. & M.,Fisch. & C.A.Mey.,,
H. & A.,Hook. & Arn.,,
H. & B.,Humb. & Bonpl.,,
H. & G.,Hook. & Grev.,,
N. & M.,Nees & Mart.,,
Lk. & O.,Link & Otto,,
M. & S.,Moc. & Sessé,,
R. & P.,Ruiz & Pav.,,
R. & S.,Roem. & Schult.,,
S. & W.,Schrad. & J.C.Wendl.,,
S. & Z.,Siebold & Zucc.,,
T. & B.,Teijsm. & Binn.,,
T. & G.,Torr. & A.Gray,,
W. & A.,Wight & Arn.,,
W. & H.,Wall. & Hook.,,
W. & K.,Waldst. & Kit.,,
W. & Kit.,Waldst. & Kit.,,
W. & M.,F.Weber & D.Mohr,,
Z. & M.,Zoll. & Moritzi,,
A.Dec.,A.DC.,,
Abel.,C.Abel,Ambiguous,
Adan.,Adans.,,
Afz.,Afzel.,,
Ag.,Agardh,,C.Agard or J.Agard (fil.)
Ait.,Aiton,,
Alph.Dec.,A.DC.,,
And.,Andrews,,
Andr.,Andrews,,
Aub.,Aubl.,,
B.C.,Lodd.,,Botanical Cabinet
B.M.,Curtis,Ambiguous,Botanical Magazine
B.R.,Lindl. & Ker Gawl.,,Botanical Register
B.Rep.,Andrews,,Botanist's Repository
Bac.,Bacle,,
Baldw.,Baldwin,,
Barrl.,Barrel.,,
Bart.,Barton,,
Bartr.,Bartram,,
Bast.,Bastard,,
Batt.,Battarra,,
Baum.,Baumg.,,
Beauv.,P.Beauv.,Ambiguous,
Bel.,Bellardi,,
Bell.,Bellardi,,
Berg.,Bergius,,
Berger.,Bergeret,Ambiguous,A.Berger
Bes.,Besser,,
Bess.,Besser,,
Bieb.,M.Bieb.,,
Bieberst.,M.Bieb.,,
Biebst.,M.Bieb.,,
Bbrst.,M.Bieb.,,
Bl.,Blume,,
Blum.,Blume,,
Boer.,Boerh.,Ambiguous,
Böhm.,Boehm.,,
Boj.,Bojer,,
Bonp.,Bonpl.,,
Borc.,Borkh.,,
Botanical Cabinet,Lodd.,,
Botanical Cabinet,Lodd.,,
Botanical Register,Lindl. & Ker Gawl.,,
Bouch.,Boucher,,
Bow.,Bowie,,
Br.,P.Browne,Ambiguous,R.Br.
Brad.,Bradley,,
Braun-Blanq.,Braun-Blanquet,,
Bred.,Bredem.,,
Brig.,Brign.,,
Brm.,Burmann,,
Broeg.,Brög.,,
Brong.,Brongn.,,
Brous.,Brouss.,,
Brou.,Brouss.,,
Bth.,Benth.,,
Buc.,Buchanan,,
Burc.,Burch.,,
Burg.,Burgsdorf,,
C.Bauh.,C.Bauhin,,
C.A.M.,C.A.Mey.,,
Carm.,Carmich.,,
Castag.,Castagne,,
Cat.,Catesby,Ambiguous,Cat. often as Catalogue
Cavan.,Cav.,,
Ch. et Schl.,Cham. & Schltdl.,,
Choi.,Choisy,,
Chois.,Choisy,,
Clair.,Clairv.,,
Clar.,Clarion,,
Colb.,Colebr.,,
Coll.,Collad.,,
Com.,J.Commelijn,,
Corr.,Corrêa,,
Cr.,Crantz,,
Cun.,A.Cunn.,,
Cunningh.,A.Cunn.,,
Cur.,Curtis,,
Curt.,Curtis,,
Cyr.,Cirillo,,
Dan.,Danthoine,,
Dav.,Davies,,
Dcn.,Decne.,,
de Vr.,de Vriese,,
D.C.,DC.,,
Dec.,DC.,,
Decaisn.,Decne.,,
Decand.,DC.,,
Del.,Delile,,
Desfon.,Desf.,,
Desfont.,Desf.,,
Desrouss.,Desr.,,
Deth.,Dethard.,,
Die.,Dietr.,,
Dil.,Dillwyn,,
Dit.,Ditmar,,
Domb.,Dombey,,
Dor.,Dorthes,,
Dou.,Douglas,,
Dry.,Dryand.,,
Dsf.,Desf.,,
Dub.,Dubois,,
Duh.,Duhamel,,
Dum.,Dum.Cours.,,
Dun.,Dunal,,
Duroi.,Du Roi,,
E.B.,Sm.,,English Botany
Ehren.,Ehrenb.,,
El.,J.Ellis,,
Ell.,Elliot,,
English Botany,Sm.,,
Esp.,Esper,,
Feu.,Feuillée,,
Fis.,Fisch.,,
Fl. Br.,Sm.,,Flora Britannica
Fl. Dan.,Oeder,,Flora Danica
Fl. Gr.,Sm.,,Flora Graeca
Fl. Lon.,Curtis,,Flora Londinensis
Fl. Per.,Ruiz & Pav.,,Flora Peruviana
Flu.,Flüggé,,
Forsk.,Forssk.,,
Fortun.,Fortune,,
Fries.,Fr.,,
Frö.,Froel.,,
Gae.,Gaertn.,,
Gau.,Gaudin,,
Gill.,Gillies,,
Gin.,Ging.,,
Gm.,Gmel.,,
Goch.,Gochnat,,
Gold.,Goldie,,
Good.,Gooden.,,
Gou.,Gouan,,
Grah.,Graham,,
Gro.,Gronov,,
Grtn.,Gaertn.,,
Gul.,Gueldenst.,,
Günt.,Günther,,
H.Ber.,Willd.,,
H.K.,Aiton,,
H. K.,Aiton,,
Hk.,Hook.,,
Habl.,Hablitz,,
Hae.,Haenke,,
Hal.,Haller,,
Har.,Hartig,,
Hay.,Hayne,,
Hei.,Heist.,,
Herit.,L'Hér.,,
St. Hil.,St.-Hil.,,Do not alphabetize!
St.Hil.,St.-Hil.,,
Hil.,St.-Hil.,,
Hofg.,Hoffmanns.,,
Hffgg.,Hoffmanns.,,
Hffmsg.,Hoffmanns.,,
Hffsgg.,Hoffmanns.,,
Hffg.,Hoffmanns.,,
Hofm.,Hoffm.,,
Horn.,Hornem.,,
Horns.,Hornsch.,,
Hortus Kewensis,Aiton,,
Hout.,Houtt.,,
Hrtm.,Hartmann,,
Hsskl.,Hassk.,,
Hud.,Huds.,,
Hum.,Humb.,,
Hun.,Hunter,,
Jac.,Jacq.,,
Jcq.,Jacq.,,
Jack.,Jacks.,Ambiguous,
Jon.,Jones,,
Kcke.,Körn.,,
Ker.,Ker Gawl.,Ambiguous,
Kitaib.,Kit.,,
Kl.,Klotzsch,,
Knz.,Kunze,,
Ktze.,Kuntze,,
Koel.,Koeler,,
Kon.,König,,
Krz.,Kurz,,
Kth.,Kunth,,
Kze.,Kunze,,
L. fil.,L.f.,,
Lab.,Labill.,,
LaB.,Labill.,,
La Bill.,Labill.,,
Lagasc.,Lag.,,
Lamk.,Lam.,,
Lmk.,Lam.,,
Lan.,Langsd.,,
Lap.,Lapeyr.,,
Lar.,Laroche,,
Lax.,Laxm.,,
Lec.,Leconte,,
Leh.,Lehm.,,
Lep.,Lepech.,,
Leys.,Leyss.,,
Lich.,Licht.,,
Light.,Lightf.,,
Liljeb.,Lilj.,,
Lin.,L.,,
Lin. fil.,L.f.,,
Linn.,L.,,
Linn. fil.,L.f.,,
Lk.,Link,,
Lndl.,Lindl.,,
Lo. C.,Lodd.,,Loddige's catalogue
Lo. S.,Lodd.,,
Lob.,Lobel,,
Lock.,Lockh.,,
Lod.,Lodd.,,
Loi.,Loisel.,,
Lon.,Londes,,
Lou.,Lour.,,
M.B.,M.Bieb.,,
MB.,M.Bieb.,,
Marg.,Marcgr.,,
Marsh.,Marshall,,
Mas.,Masson,,
Mass.,Masson,,
Maud.,Maund,,
Mch.,Moench,,
Mchx.,Michx.,,
Med.,Medik.,,
Menz.,Menzies,,
Mhlbrg.,Muhl.,,
Mich.,Michx.,,
Mik.,Mikan,,
Mil.,Mill.,,
Mir.,Mirb.,,
Moen.,Moench,,
Mol.,Molina,,
Mon.,Montin,,
Mord.,Mord.Laun.,,
Moret.,Moretti,,
Msn.,Meisn.,,
Muhlbg.,Muhl.,,
Mus.,Muss.Puschk.,Ambiguous,
Mx.,Michx.,,
N.E.,Nees,,
Nest.,Nestl.,,
Niv.,Niven,,
Noc.,Nocca,,
Nor.,Noronha,,
Nut.,Nutt.,,
Oed.,Oeder,,
Or.,Ortega,,
Ort.,Ortega,,
P.B.,P.Beauv.,,
P.Th.,Thouars,,
P. d. B.,P.Beauv.,,
Pauq.,Pauquy,,
Paxt.,Paxton,,
Per.,Pers.,,
Pet.,Petagna,,
Ph.,Pursh,Ambiguous,Pursh or Phil.
Plu.,Plum.,,
Poll.,Pollich,,
Pou.,Pourr.,,
Pour.,Pourr.,,
Prsl.,C.Presl,,
R.B.,R.Br.,,
RB.,R.Br.,,
R.L.,Redouté,,
R.W.,Wight,,
Rad.,Raddi,,
Raeu.,Raeusch.,,
Ram.,Ramond,,
Rchb. fil.,Rchb.f.,,
Red.,Redouté,,
Reich.,Reichard,,
Reichenb.,Rchb.,,
Rel.,Relhan,,
Rh.,Rheede,,
Rnwdt.,Reinw.,,
Robs.,Robson,,
Roch.,Rochel,,
Roll.,Rollisson,,
Rosc.,Roscoe,,
Rox.,Roxb.,,
Rtb.,Rottb.,,
Rtl.,Rottler,,
Rud.,Rudge,,
Rudol.,Rudolph,,
Rum.,Rumph.,,
Rumpf.,Rumph.,,
Rwdt.,Reinw.,,
Rxb.,Roxb.,,
Sab.,Sabine,,
Sal.,Salisb.,,
Salm.,Salm-Dyck,,
Savig.,Savigny,,
Sbld.,Siebold,,
Sbr.,Sieber,,
Schk.,Schkuhr,,
Schl.,Schleich.,,
Schous.,Schousb.,,
Schr.,Schrad.,,
Schtt.,Schott,,
Schu.,Schübl.,,
Schum.,Schumach.,,
Schlchr.,Schleich.,,
Schw.,Schweigg.,,
Schwae.,Schwägr.,,
Sco.,Scop.,,
Sib.,Sibth.,,
Sieb.,Sieber,Ambiguous,Siebold or Sieber
S. D.,Salm-Dyck,,
Sin.,Sinclair,,
Son.,Sonn.,,
Sow.,Sowerby,,
Spr.,Spreng.,,
Spgl.,Spreng.,,
Stack.,Stackh.,,
Step.,Stephan,,
Ster.,Sternb.,,
Steu.,Steud.,,
Stev.,Steven,,
Swt.,Sweet,,
Swz.,Sw.,,
Teysm. & Binn.,Teijsm. & Binn.,,
Thb.,Thunb.,,
Thbg.,Thunb.,,
Thib.,Thibaud,,
Thou.,Thouars,,
Thuil.,Thuill.,,
Thun.,Thunb.,,
Tou.,Tourn.,,
Trat.,Tratt.,,
Trent.,Trentep.,,
Tus.,Tussac,,
Uc.,Ucria,,
Urv.,d'Urv.,,
Vail.,Vaill.,Ambiguous,
Van.,Vand.,Ambiguous,
Ven.,Vent.,,
V.Ch.,Vent.,,
Vil.,Vill.,,
WK.,Waldst. & Kit.,,
W. K.,Waldst. & Kit.,,
W. en.,Willd.,,
Wahl.,Wahlenb.,,
Wal.,Wall.,,
Wald.,Waldst.,,
Walt.,Walter,,
Wan.,Wangenh.,,
Wat.,Watson,,
Wats.,Watson,,
Web.,Weber,,
Wein.,Weinm.,,
Wend.,Wendl.,,
Whlbrg.,Wahlenb.,,
Wig.,Wigg.,,
Wik.,Wikstr.,,
Wlld.,Willd.,,
Wnl.,Wendl.,,
Worm.,Wormsk.,,
Wre.,Wredow,,
Wul.,Wulfen,,
Zey.,Zeyh.,,
Zuc.,Zuccagni,,
J.,Juss.,,
W.,Willd.,,
Y.,Young,,
