Page,Genus,SpecificEpithet,InfraspecificRank,InfraspecificName,Authority
59,Agaricus,campestris,,,L.
59,Agaricus,subrufescens,,,Peck.
60,Lygodium,circinatum,,,Sw.
60,Lygodium,volubile,,,Sw.
60,Lygodium,scandens,,,Sw.
60,Lygodium,japonicum,,,Sw.
61,Dicksonia,antarctica,,,Labill.
61,Cibotium,schiedei,,,Schlecht. & Cham.
61,Cyathea,dealbata,,,Sw.
61,Alsophila,australis,,,R.Br.
63,Polypodium,vulgare,,,L.
63,Polypodium,aureum,,,L.
63,Polypodium,phymatodes,,,L.
64,Pityrogramma,tartarea,,,Maxon
64,Pityrogramma,calomelanos,,,Link.
64,Cyclophorus,lingua,,,Desv.
64,Platycerium,stemaria,,,Desv.
65,Platycerium,hillii,,,Moore.
65,Platycerium,bifurcatum,,,C.Chr.
65,Elaphoglossum,crinitum,,,Christ
65,Onychium,japonicum,,,Kunze
66,Adiantum,capillus-veneris,,,L.
66,Adiantum,tenerum,,,Sw.
66,Adiantum,tenerum,var.,farleyense,Nichols.
66,Adiantum,cuneatum,var.,croweanum,Benedict
66,Adiantum,cuneatum,var.,gracillimum,Schneid.
66,Adiantum,decorum,,,Moore.
66,Pellaea,rotundifolia,,,Hook.
66,Pellaea,viridis,,,Prantl.
67,Pteris,serrulat,,,L.f.
67,Pteris,ensiformis,,,Burm.
67,Pteris,cretica,var.,albo-lineata,Hook.
67,Pteris,tremula,,,R.Br.
67,Pteris,quadriaurita,var.,argyraea,Hook.
68,Blechnum,brasiliense,,,Desv.
68,Blechnum,occidentale,,,L.
68,Blechnum,gibbum,,,Mett.
68,Phyllitis,scolopendrium,,,Newm.
68,Athyrium,filix-femina,,,Roth.
68,Athyrium,filix-femina,var.,craigii,Moore.
69,Athyrium,filix-femina,var.,victoriae,Moore.
69,Athyrium,goeringianum,,,Moore.
69,Asplenium,nidus,,,L.
69,Asplenium,belangeri,,,Kunze
69,Asplenium,bulbiferum,,,Forst.
69,Asplenium,bulbiferum,var.,laxum,Hook.f.
69,Dryopteris,filix-mas,,,Schott.
70,Dryopteris,erythrosora,,,Kunze
70,Dryopteris,chrysoloba,,,Kunze
70,Dryopteris,dentata,,,C.Chr.
70,Polystichum,aristatum,,,Presl.
70,Polystichum,adiantiforme,,,J.Sm.
70,Polystichum,tsus-simense,,,J.Sm.
70,Polystichum,aculeatum,,,Schott.
71,Cyrtomium,falcatum,,,Presl.
71,Cyrtomium,falcatum,var.,compactum,Hort.
71,Cyrtomium,fortunei,,,J.Sm.
71,Cyrtomium,caryotideum,,,Presl.
71,Nephrolepis,duffii,,,Moore.
71,Nephrolepis,pectinata,,,Schott.
71,Nephrolepis,cordifolia,,,Presl.
72,Nephrolepis,acuminata,,,Kuhn
72,Nephrolepis,biserrata,,,Schott.
72,Nephrolepis,exaltata,,,Schott.
72,Nephrolepis,exaltata,var.,bostoniensis,Davenport.
72,Davallia,fejeensis,,,Hook.
73,Davallia,bullata,,,Wall.
73,Davallia,dissecta,,,J.Sm.
73,Davallia,canariensis,,,Sm.
73,Odontosoria,chinensis,,,J.Sm.
73,Dennstaedtia,cicutaria,,,Moore.
73,Salvinia,auriculata,,,Aubl.
74,Selaginella,lepidophylla,,,Spring.
74,Selaginella,pilifera,,,Braun.
74,Selaginella,uncinata,,,Spring.
74,Selaginella,kraussiana,,,Braun.
75,Selaginella,kraussiana,var.,brownii,Hort.
75,Selaginella,emmeliana,,,Van Geert
75,Selaginella,martensii,,,Spring.
75,Selaginella,erythropus,,,Spring.
75,Selaginella,flabellata,,,Spring.
75,Selaginella,caulescens,,,Spring.
75,Selaginella,braunii,,,Baker
75,Selaginella,vogelii,,,Spring.
75,Selaginella,wildenovii,,,Baker
77,Cycas,circinalis,,,L.
77,Cycas,revoluta,,,Thunb.
78,Ginkgo,bilboa,,,L.
78,Taxus,canadensis,,,Marsh.
78,Taxus,baccata,,,L.
78,Taxus,baccata,var.,adpressa,Carr.
78,Taxus,baccata,var.,dovastoni,Loud.
78,Taxus,cuspidata,,,Sieb.& Zucc.
79,Torreya,nucifera,,,Sieb.& Zucc.
79,Torreya,californica,,,Torr.
79,Cephalotaxus,drupacea,,,Sieb.& Zucc.
79,Cephalotaxus,drupacea,var.,pedunculata,Miq.
79,Cephalotaxus,fortuni,,,Hook.
79,Podocarpus,macrophylla,,,Don.
81,Pinus,cembra,,,L.
81,Pinus,excelsa,,,Wall.
81,Pinus,storbus,,,L.
81,Pinus,canariensis,,,C.Smith
81,Pinus,radiata,,,Don.
81,Pinus,sylvestris,,,L.
82,Pinus,mugo,,,Turra
82,Pinus,densiflora,,,Sieb.& Zucc.
82,Pinus,nigra,,,Arnold.
82,Pinus,nigra,var.,austriaca,Aschers.& Graebn.
82,Pinus,thunbergii,,,Parl.
82,Pinus, massoniana,,,Lamb.
82,Pinus,halepensis,,,Mill.
82,Pinus,pinea,,,L.
82,Pinus,pinaster,,,Ait.
83,Cedrus,libani,,,Loud.
83,Cedrus,atlantica,,,Manetti.
83,Cedrus,deodara,,,Loud.
83,Larix,kaempferi,,,Sarg.
83,Larix,decidua,,,Mill.
83,Pseudolarix,amabilis,,,Rehd.
84,Abies,cephalonica,,,Loud.
84,Abies,homolepis,,,Sieb.& Zucc.
84,Abies,numidica,,,De Lannoy
84,Abies,veitchii,,,Murr.
84,Abies,cilicica,,,Carr.
84,Abies,firma,,,Sieb.& Zucc.
84,Abies,alba,,,Mill.
84,Abies,nordmanniana,,,Spach.
85,Abies,pinsapo,,,Boiss.
85,Abies,concolor,,,Lindl.& Gord.
85,Picea,omoroka,,,Bolle
85,Picea,smithiana,,,Boiss.
86,Picea,glauca,,,Voss.
86,Picea,abies,,,Karst
86,Picea,abies,var.,finedonensis ,Nash
86,Picea,abies,var.,clanbrasiliana,Th.Fries.
86,Picea,abies,var.,gregoryana,Nash
86,Picea,abies,var.,merkii,Rehd.
86,Picea,abies,var.,ellwangeriana,Rehd.
86,Picea,polita,,,Carr.
86,Picea,pungens,,,Engelm.
86,Picea,pungens,var.,kosteriana,Mast.
86,Picea,orientalis,,,Carr.
86,Picea,koyamai,,,Shiras
86,Picea,engelmanni,,,Engelm.
86,Picea,bicolor,,,Mayr
87,Tsuga,canadensis,,,Carr.
87,Tsuga,sieboldii,,,Carr.
87,Tsuga,diversifolia,,,Mast.
87,Tsuga,caroliniana,,,Engelm.
87,Pseudotsuga,taxifolia,,,Britt.
87,Sciadopitys,verticillata,,,Sieb.& Zucc.
88,Araucaria,bidwillii,,,Hook.
88,Araucaria,araucana,,,Koch.
88,Araucaria,excelsa,,,R.Br.
88,Taxodium,distichum,,,Rich
88,Sequoia,gigantea,,,DC.
89,Sequoia,sempervierns,,,Endl.
89,Cryptomeria,japonica,,,D.Don
89,Cryptomeria,japonica,var.,lobbii,Carr.
89,Cryptomeria,japonica,var.,elegans,Mast.
89,Cryptomeria,lanceolata,,,Hook.
89,Juniperus,macrocarpa,,,Sibth.
90,Juniperus,communis,,,L.
90,Juniperus,communis,var.,hibernica,Gord.
90,Juniperus,communis,var.,depressa,Pursh.
90,Juniperus,communis,var.,montana,Ait.
90,Juniperus,squamata,,,Lamb.
90,Juniperus,chinensis,,,L.
90,Juniperus,chinensis,var.,pfitzeriana ,Spaeth.
90,Juniperus,chinensis,var.,japonica,Vilm.
90,Juniperus,chinensis,var.,foemina,Gord.
90,Juniperus,excelsa,,,Bieb.
90,Juniperus,virginiana,,,L.
90,Juniperus,virginiana,var.,canaertii,Sénécl.
90,Juniperus,virginiana,var.,schotii,Gord.
90,Juniperus,virginiana,var.,keteleeri,Hort.
90,Juniperus,virginiana,var.,tripartita,R.Smith
90,Juniperus,horizontalis,,,Moench.
90,Juniperus,sabina,,,L.
90,Juniperus,sabina,var.,tamariscifolia ,Ait.
90,Juniperus,sabina,var.,cuptessifolia,Ait.
91,Chamaecyparis,thyoides,,,Britt.
91,Chamaecyparis,nootkatensis,,,Sydw.
91,Chamaecyparis,pisisfera,,,Sieb.& Zucc.
91,Chamaecyparis,pisisfera,var.,filifera,Beissn.
91,Chamaecyparis,pisisfera,var.,plumosa,Beissn.
91,Chamaecyparis,pisisfera,var.,squarrosa,Beissn.& Hochst.
91,Chamaecyparis,obtusa,,,Sieb.& Zucc.
91,Chamaecyparis,obtusa,var.,filicoides,Beissn.
91,Chamaecyparis,obtusa,var.,ericoides,Boehmer
91,Chamaecyparis,lawsoniana,,,Parl.
92,Cupressus,seperiverens,,,L.
92,Cupressus,macrocarpa,,,Hartw.
92,Cupressus,macrocarpa,var.,crippsii,Gord.
92,Cupressus,funebris,,,Endl.
92,Cupressus,macnabiana,,,Murr.
92,Cupressus,lusitanica,,,Mill.
92,Cupressus,lusitanica,var.,benthami,Carr.
92,Cupressus,lusitanica,var.,knightiana,Rehd.
92,Cupressus,tortulosa,,,Don.
92,Thujopsis,dolobrata,,,Sieb.& Zucc.
93,Thujopsis,decurrens,,,Torr.
93,Thujopsis,chilensis,,,Endl.
93,Thuja,orientalis,,,L.
93,Thuja,occidentalis,,,L.
93,Thuja,occidentalis,var.,vervaeneana,Henk.& Hochst.
93,Thuja,occidentalis,var.,douglasii aurea ,Hort.
93,Thuja,occidentalis,var.,robusta,Carr.
93,Thuja,occidentalis,var.,riversi,Beissn.
93,Thuja,occidentalis,var.,rosenthali,Ohlend.
93,Thuja,occidentalis,var.,douglasii pyramidalis,Spaeth.
93,Thuja,occidentalis,var.,hoveyi,Veitch.
93,Thuja,occidentalis,var.,woodwardii,Hort.
93,Thuja,occidentalis,var.,ellwangeriana,Beissn.
93,Thuja,occidentalis,var.,ericoides,Beissn.& Hochst.
93,Thuja,occidentalis,var.,ohlendorfi,Beissn.
93,Thuja,occidentalis,var.,spiralis,Hort.
93,Thuja,plicata,,,D.Don
93,Thuja,standishii,,,Carr.
94,Pandanus,pygmaeus,,,Thouars.
94,Pandanus,veitchii,,,Dall.
94,Pandanus,sanderi,,,Mast.
94,Pandanus,utilis,,,Bory
95,Aponogeton,distachyus,,,L.f.
95,Aponogeton,distachyus,var.,langrangei,André
95,Aponogeton,fenestralis,,,Hook.f.
95,Sagittaria,montevidensis,,,Cham.& Schlecht.
95,Sagittaria,saggitifolia,,,L.
95,Sagittaria,saggitifolia,var.,flore-pleno,Hort.
95,Sagittaria,saggitifolia,var.,latifolia,Willd.
96,Butomus,umbellatus,,,L.
96,Limnocharis,flava,,,Buchenau
96,Hydrocleis,nymphoides,,,Buchenau
96,Hydrocharis,morsus-ranae,,,L.
98,Axonopus,compressus,,,Beauv.
98,Zoysia,matrella,,,Merr.
101,Dendrocalamus,strictus,,,Nees.
101,Phyllostachys,kumasaca,,,Munro
101,Phyllostachys,aurea,,,Riv.
101,Phyllostachys,viridi-glaucescens,,,Riv.
101,Phyllostachys,mitis,,,Riv.
102,Bambusa,arundinacea,,,Willd.
102,Bambusa,vulgaris,,,Schrad.
102,Bambusa,vulgaris,var.,aureo-variegata,Hort.
102,Bambusa,disticha,,,Mitf.
102,Bambusa,tessellata,,,Munro
102,Bambusa,palmata,,,Burb.
103,Arundinaria,falconeri,,,Benth. & Hook.
103,Arundinaria,falcata,,,Nees.
103,Arundinaria,veitchii,,,N.E.Br.
103,Arundinaria,fortunei,,,Riv.
103,Arundinaria,auricoma,,,Mitf.
103,Arundinaria,nitida,,,Mitf.
103,Arundinaria,japonica,,,Sieb. & Zucc.
103,Arundinaria,simoni,,,Riv.
104,Euchlaena,mexicana,,,Schrad.
104,Zea,mays,,,L.
104,Zea,mays,var.,tunicata,St.Hil.
104,Zea,mays,var.,japonica,Koern.
104,Zea,mays,var.,gracillima,Koern.
104,Zea,mays,var.,everta,Bailey
104,Zea,mays,var.,indurata,Bailey
104,Zea,mays,var.,indentata,Bailey
104,Zea,mays,var.,rugosa,Bonaf
104,Coix,lacryma-jobi,,,L.
