Code_No,Num,Family,TaxonName,EndangeredSpecies,RarePlants,ExoticPlants,KoreanEndemicPlants,ClimateSensitiveBiologicalIndicatorSpecies,KoreanRedListOfThreatenedSpecies,BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer,FloristicTargetSpecies,PlantsAdaptableToClimateChange,Native_NABI,Cultivated_NABI,Naturalized_NABI
13221,298,Polypodiaceae,Platycerium bifurcatum (Cav.) C. Chr.,,,,,,,,,,,1,
5166,375,Cycadaceae,Cycas revoluta Thunb.,,,,,,,,,,,1,
7483,376,Ginkgoaceae,Ginkgo biloba L.,,,Arc.,,,,,,,,1,1
3924,377,Cupressaceae,Chamaecyparis obtusa (Siebold & Zucc.) Endl.,,,PIP (CAP),,,,,,,,1,
3964,378,Cupressaceae,Chamaecyparis pisifera (Siebold & Zucc.) Endl.,,,,,,,,,,,1,
5071,379,Cupressaceae,Cryptomeria japonica (Thunb. ex L. f.) D. Don,,,PIP (CAP),,,,,,,,1,
5101,380,Cupressaceae,Cryptomeria japonica (Thunb. ex L. f.) D. Don subsp. sinensis (Miq.) P. D. Sell,,,,,,,,,,,1,
5130,381,Cupressaceae,Cunninghamia lanceolata (Lamb.) Hook.,,,,,,,,,,,1,
9832,391,Cupressaceae,Juniperus virginiana L.,,,,,,,,,,,1,
11400,392,Cupressaceae,Metasequoia glyptostroboides Hu & W. C. Cheng,,,,,,,,,,,1,
16553,393,Cupressaceae,Taxodium distichum (L.) Rich.,,,,,,,,,,,1,
16721,395,Cupressaceae,Thuja occidentalis L.,,,,,,,,,,,1,
16751,398,Cupressaceae,Thujopsis dolabrata (Thunb. ex L. f.) Siebold & Zucc.,,,,,,,,,,,1,
13293,399,Podocarpaceae,Podocarpus macrophyllus (Thunb.) Sweet var. maki Siebold & Zucc.,,,,,,,,Ⅴ,,,1,
13295,400,Podocarpaceae,Podocarpus nagi (Thunb.) Zoll. & Mor. ex Zoll.,,,,,,,,,,,1,
15569,401,Sciadopityaceae,Sciadopitys verticillata (Thunb.) Siebold & Zucc.,,,,,,,,,,,1,
16561,404,Taxaceae,Taxus baccata L.,,,,,,,,,,,1,
36,409,Pinaceae,Abies firma Siebold & Zucc.,,,,,,,,,,,1,
41,411,Pinaceae,Abies koreana E. H. Wilson,,LC,,1,1,EN,1,Ⅲ,endemic,1,1,
42,412,Pinaceae,Abies koreana E. H. Wilson forma chlorocarpa T. B. Lee,,,,,,,,,,1,1,
43,413,Pinaceae,Abies koreana E. H. Wilson forma nigrocarpa Hatus.,,,,,,,,,,1,1,
44,414,Pinaceae,Abies koreana E. H. Wilson forma rubrocarpa T. B. Lee,,,,,,,,,,1,1,
53,415,Pinaceae,Abies nephrolepis (Trautv. ex Maxim.) Maxim.,,,,,1,,1,Ⅲ,Northern,1,1,
3739,417,Pinaceae,Cedrus deodara (Roxb. ex D. Don) G. Don,,,,,,,,,,1,1,
10046,419,Pinaceae,Larix kaempferi (Lamb.) Carrière,,,PIP (CAP),,,,,,,,1,
12841,422,Pinaceae,Picea abies (L.) H. Karst.,,,,,,,,,,,1,
12878,423,Pinaceae,Picea jezoensis (Siebold & Zucc.) Carrière,,VU,,,,VU,1,Ⅲ,Northern,1,1,
13005,429,Pinaceae,Pinus banksiana Lamb.,,,,,,,,,,,1,
13007,430,Pinaceae,Pinus bungeana Zucc. ex Endl.,,,,,,,,,,,1,
13028,431,Pinaceae,Pinus densiflora Siebold & Zucc.,,,,,,,1,,,1,1,
13018,432,Pinaceae,Pinus densiflora Siebold & Zucc. forma aggregata Nakai,,,,,,,,,,1,1,
13019,433,Pinaceae,Pinus densiflora Siebold & Zucc. forma congesta Uyeki,,,,,,,,,,1,1,
13029,434,Pinaceae,Pinus densiflora Siebold & Zucc. forma erecta Uyeki,,,,,,,,,,1,1,
13021,435,Pinaceae,Pinus densiflora Siebold & Zucc. forma multicaulis Uyeki,,,,,,,,,,1,1,
13022,436,Pinaceae,Pinus densiflora Siebold & Zucc. forma pendula Mayr,,,,,,,,,,1,1,
13023,437,Pinaceae,Pinus densiflora Siebold & Zucc. forma vittata Uyeki,,,,,,,,,,1,1,
13041,438,Pinaceae,Pinus koraiensis Siebold & Zucc.,,,,,,,1,Ⅱ,,1,1,
13074,439,Pinaceae,Pinus parviflora Siebold & Zucc.,,,,,,,1,Ⅳ,,1,1,
13081,440,Pinaceae,Pinus pumila (Pall.) Regel,,CR,,,1,VU,1,Ⅴ,,1,1,
13082,441,Pinaceae,Pinus pungens Lamb.,,,,,,,,,,,1,
13086,442,Pinaceae,Pinus rigida Mill.,,,PIP (CAP),,,,,,,,1,
13091,443,Pinaceae,Pinus strobus L.,,,,,,,,,,,1,
13103,444,Pinaceae,Pinus sylvestris L.,,,,,,,,,,,1,
13106,446,Pinaceae,Pinus taeda L.,,,,,,,,,,,1,
13117,447,Pinaceae,Pinus thunbergii Parl.,,,,,,,,,,1,1,
13109,448,Pinaceae,Pinus thunbergii Parl. forma multicaulis Uyeki,,,,,,,,,,1,1,
20143,449,Pinaceae,Pinus × rigitaeda S. K. Hyun & Ahn,,,,,,,,,,,1,
13993,450,Pinaceae,Pseudotsuga menziesii (Mirb.) Franco,,,,,,,,,,,1,
17033,451,Pinaceae,Tsuga sieboldii Carrière,,LC,,,,LC,1,Ⅳ,,1,1,
2384,452,Cabombaceae,Brasenia schreberi J. F. Gmel.,Ⅱ,VU,,,,VU,,Ⅴ,,1,1,
2553,453,Cabombaceae,Cabomba caroliniana A. Gray,,,IAP (CAP),,,,,,,,1,1
6814,454,Nymphaeaceae,Euryale ferox Salisb. ex K. D. Koenig & Sims,Ⅱ,VU,,,,VU,,Ⅴ,,1,1,
11826,459,Nymphaeaceae,Nymphaea alba L.,,,PIP (CAP),,,,,,,,1,
11871,460,Nymphaeaceae,Nymphaea odorata Aiton,,,PIP (CAP),,,,,,,,1,
9312,464,Schisandraceae,Illicium verum Hook. f.,,,,,,,,,,,1,
15547,466,Schisandraceae,Schisandra chinensis (Turcz.) Baill.,,,,,,,1,Ⅱ,,1,1,
1676,475,Annonaceae,Asimina triloba (L.) Dunal,,,,,,,,,,,1,
10580,476,Magnoliaceae,Liriodendron chinense (Hemsl.) Sarg.,,,,,,,,,,,1,
10587,477,Magnoliaceae,Liriodendron tulipifera L.,,,PIP (CAP),,,,,,,,1,
10947,478,Magnoliaceae,Magnolia denudata Desr.,,,,,,,,,,,1,
10948,479,Magnoliaceae,Magnolia denudata Desr. var. purpurascens (Maxim.) Rehder & E. H. Wilson,,,,,,,,,,,1,
10987,480,Magnoliaceae,Magnolia grandiflora L.,,,,,,,,,,,1,
11040,482,Magnoliaceae,Magnolia obovata Thunb.,,,IAP (NP),,,,,,,,1,1
11059,483,Magnoliaceae,Magnolia quinquepeta (Buc’hoz) Dandy,,,,,,,,,,,1,
11097,486,Magnoliaceae,Magnolia stellata (Siebold & Zucc.) Maxim.,,,,,,,,,,,1,
11411,487,Magnoliaceae,Michelia compressa (Maxim.) Sarg.,Ⅱ,CR,,,,EN,,Ⅴ,,1,1,
4061,488,Calycanthaceae,Chimonanthus praecox (L.) Link,,,,,,,,,,,1,
4193,493,Lauraceae,Cinnamomum loureiroi Nees,,,,,,,,,,,1,
10080,494,Lauraceae,Laurus nobilis L.,,,,,,,,,,,1,
10079,495,Lauraceae,Laurus nobilis L. forma angustifolia (Nees) Markgr.,,,,,,,,,,,1,
10499,496,Lauraceae,Lindera angustifolia W. C. Cheng,,,,,,,,,,1,1,
