"index","Genus","SpecificEpithet","InfraspecificRank","InfraspecificName","Authority","InfraspecificAuthority","AuthorityCorrected","Cultivar","OriginalName","TaxonNameAuthorCV","TaxonNameAuthor","TaxonNameCV","TaxonName","Code_No","Num","Family","EndangeredSpecies","RarePlants","ExoticPlants","KoreanEndemicPlants","ClimateSensitiveBiologicalIndicatorSpecies","KoreanRedListOfThreatenedSpecies","BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer","FloristicTargetSpecies","PlantsAdaptableToClimateChange","Native_NABI","Cultivated_NABI","Naturalized_NABI"
0,"Platycerium","bifurcatum","","","(Cav.) C.Chr.","","(Cav.) C.Chr.","","Platycerium bifurcatum (Cav.) C. Chr.","Platycerium bifurcatum (Cav.) C.Chr.","Platycerium bifurcatum (Cav.) C.Chr.","Platycerium bifurcatum","Platycerium bifurcatum",13221,298,"Polypodiaceae","","","","","","","","","","",1,""
1,"Cycas","revoluta","","","Thunb.","","Thunb.","","Cycas revoluta Thunb.","Cycas revoluta Thunb.","Cycas revoluta Thunb.","Cycas revoluta","Cycas revoluta",5166,375,"Cycadaceae","","","","","","","","","","",1,""
2,"Ginkgo","biloba","","","L.","","L.","","Ginkgo biloba L.","Ginkgo biloba L.","Ginkgo biloba L.","Ginkgo biloba","Ginkgo biloba",7483,376,"Ginkgoaceae","","","Arc.","","","","","","","",1,"1"
3,"Chamaecyparis","obtusa","","","(Siebold & Zucc.) Endl.","","(Siebold & Zucc.) Endl.","","Chamaecyparis obtusa (Siebold & Zucc.) Endl.","Chamaecyparis obtusa (Siebold & Zucc.) Endl.","Chamaecyparis obtusa (Siebold & Zucc.) Endl.","Chamaecyparis obtusa","Chamaecyparis obtusa",3924,377,"Cupressaceae","","","PIP (CAP)","","","","","","","",1,""
4,"Chamaecyparis","pisifera","","","(Siebold & Zucc.) Endl.","","(Siebold & Zucc.) Endl.","","Chamaecyparis pisifera (Siebold & Zucc.) Endl.","Chamaecyparis pisifera (Siebold & Zucc.) Endl.","Chamaecyparis pisifera (Siebold & Zucc.) Endl.","Chamaecyparis pisifera","Chamaecyparis pisifera",3964,378,"Cupressaceae","","","","","","","","","","",1,""
5,"Cryptomeria","japonica","","","(Thunb. ex L. f.) D.Don","","(Thunb. ex L. f.) D.Don","","Cryptomeria japonica (Thunb. ex L. f.) D. Don","Cryptomeria japonica (Thunb. ex L. f.) D.Don","Cryptomeria japonica (Thunb. ex L. f.) D.Don","Cryptomeria japonica","Cryptomeria japonica",5071,379,"Cupressaceae","","","PIP (CAP)","","","","","","","",1,""
6,"Cryptomeria","japonica","subsp.","sinensis","(Thunb. ex L. f.) D.Don","(Miq.) P.D.Sell","(Miq.) P.D.Sell","","Cryptomeria japonica (Thunb. ex L. f.) D. Don subsp. sinensis (Miq.) P. D. Sell","Cryptomeria japonica subsp. sinensis (Miq.) P.D.Sell","Cryptomeria japonica subsp. sinensis (Miq.) P.D.Sell","Cryptomeria japonica subsp. sinensis","Cryptomeria japonica subsp. sinensis",5101,380,"Cupressaceae","","","","","","","","","","",1,""
7,"Cunninghamia","lanceolata","","","(Lamb.) Hook.","","(Lamb.) Hook.","","Cunninghamia lanceolata (Lamb.) Hook.","Cunninghamia lanceolata (Lamb.) Hook.","Cunninghamia lanceolata (Lamb.) Hook.","Cunninghamia lanceolata","Cunninghamia lanceolata",5130,381,"Cupressaceae","","","","","","","","","","",1,""
8,"Juniperus","virginiana","","","L.","","L.","","Juniperus virginiana L.","Juniperus virginiana L.","Juniperus virginiana L.","Juniperus virginiana","Juniperus virginiana",9832,391,"Cupressaceae","","","","","","","","","","",1,""
9,"Metasequoia","glyptostroboides","","","Hu & W.C.Cheng","","Hu & W.C.Cheng","","Metasequoia glyptostroboides Hu & W. C. Cheng","Metasequoia glyptostroboides Hu & W.C.Cheng","Metasequoia glyptostroboides Hu & W.C.Cheng","Metasequoia glyptostroboides","Metasequoia glyptostroboides",11400,392,"Cupressaceae","","","","","","","","","","",1,""
10,"Taxodium","distichum","","","(L.) Rich.","","(L.) Rich.","","Taxodium distichum (L.) Rich.","Taxodium distichum (L.) Rich.","Taxodium distichum (L.) Rich.","Taxodium distichum","Taxodium distichum",16553,393,"Cupressaceae","","","","","","","","","","",1,""
11,"Thuja","occidentalis","","","L.","","L.","","Thuja occidentalis L.","Thuja occidentalis L.","Thuja occidentalis L.","Thuja occidentalis","Thuja occidentalis",16721,395,"Cupressaceae","","","","","","","","","","",1,""
